,1,2,3,4,5,6,7
귀공자,83.02956,93.68237,92.94656,70.3160259269929,75.49294744751167,68.98739,59.74005
유령,66.59034,79.27332,81.85842,60.46840009636681,79.0985158104522,100.0,77.1313
인어공주,100.0,94.17408,83.94388,63.485492010431855,66.18596923086471,67.54869,64.4574
플래시,89.73415,83.65403,85.95482,70.3160259269929,68.13483543054363,57.92813,46.25689
압꾸정,100.0,85.02663,72.02944,66.54635565063644,68.93953073220027,48.11898,45.16211
바비,99.37797,100.0,88.68441,64.26594364540074,66.51613724286425,79.74989,59.21646
남은 인생 10년,49.04997,63.35992,71.38276,70.3160259269929,77.72328233602009,84.04308,50.75657
괴물,53.46299,77.84475,82.30477,70.3160259269929,67.92322546618941,64.78126,67.23088
3일의 휴가,66.43193,88.23431,93.43096,70.3160259269929,69.32387733940024,69.20786,60.20426
더 문,93.42782,100.0,85.05821,64.9389172347402,62.63491444045399,65.84944,50.85961
고질라 X 콩: 뉴 엠파이어,61.03926,70.37274,75.89208,70.3160259269929,59.694491418884205,40.13513,34.23699
동감,96.13013,99.59426,85.66706,70.3160259269929,73.32767791740825,57.28442,45.50215
소년들,60.96625,66.36262,80.89498,70.3160259269929,68.03661529218157,55.27005,45.17936
늑대사냥,100.0,96.81323,81.57175,55.81428078269545,54.49344996310068,46.07625,34.69351
타겟,57.32147,69.63174,76.53081,70.3160259269929,72.53427613714183,57.46465,50.03579
스위치,60.90752,73.0637,77.72465,70.3160259269929,62.495380431469485,50.34324,42.25912
놉,90.26416,89.09047,84.42109,70.3160259269929,66.98345454428917,53.96372,49.1596
서치 2,71.96896,71.66777,77.68174,70.3160259269929,69.4231821662574,58.82753,63.69852
리멤버,68.9181,92.4884,88.3256,70.3160259269929,60.609194870636486,53.40436,43.70444
인시디어스: 빨간 문,79.88575,83.84921,86.25199,70.3160259269929,70.92761320636771,58.65965,48.96691
싱글 인 서울,73.96282,74.72081,75.17966,70.3160259269929,69.78152017652691,64.21024,55.57844
카운트,63.22757,74.47733,81.82189,70.3160259269929,68.4003767449266,56.95235,59.69376
에브리씽 에브리웨어 올 앳 원스,46.85096,55.20846,63.6762,66.58042376519808,79.75650699314565,77.84991,77.32995
상견니,90.25868,100.0,92.6551,69.94001097834831,72.96691530932615,68.62547,64.84996
도그데이즈,47.63784,68.60938,77.37103,70.3160259269929,77.6301187602014,69.40894,42.79557
더 넌 2,73.60846,100.0,89.5378,63.70557413998075,61.62362585873301,79.22268,55.83449
탄생,68.89489,69.72641,75.11816,70.3160259269929,65.54525330758598,50.34886,52.39202
소풍,43.78808,92.74447,90.57681,70.3160259269929,67.51320523938836,66.54033,42.55702
웅남이,82.90548,100.0,84.54976,63.193153132640376,65.00573244038014,63.01705,51.03584
거미집,71.27422,100.0,96.91288,63.021371081300735,55.442376932003725,55.97125,38.07203
용감한 시민,67.02439,90.81134,91.57491,70.3160259269929,65.79573659344865,54.44698,48.79741
화란,74.85742,85.45832,83.27161,70.3160259269929,69.35129762650448,57.3594,48.13237
크리에이터,100.0,71.14004,55.12649,59.34476,48.991221459690436,75.25157235474761,63.25076
옥수역귀신,64.01933,56.54503,72.47971,70.3160259269929,72.3799074178566,64.43807,56.5258
아임 히어로 더 파이널,77.86812,74.86056,85.48605,70.3160259269929,64.50985433380096,45.32447,43.82851
데드맨,61.7934,91.17643,100.0,63.79808893529289,64.1393694075164,54.72236,32.679
소울메이트,51.98287,69.77227,80.3816,70.3160259269929,69.80754472475877,55.09062,47.52014
메간,62.03538,70.2381,74.6164,70.3160259269929,60.73957283261819,48.76339,49.25035
나폴레옹,77.35659,89.814,87.66815,70.3160259269929,67.38955075094619,62.62525,54.46328
젠틀맨,71.10829,88.07741,98.44341,70.3160259269929,66.25644208044386,49.37449,39.18155
스턴트맨,75.40627,66.80513,73.07109,58.10559880355244,79.75650699314565,66.70689,43.01832
바빌론,57.14943,68.17734,82.09204,70.3160259269929,65.1343318322559,48.11269,42.10485
멍뭉이,100.0,72.01165,76.17047,65.34687675396343,62.07702564968764,50.40314,35.54712
킬링 로맨스,70.96065,70.3160259269929,60.27645869911178,50.95243,46.67035,42.81276,41.59114
헝거게임: 노래하는 새와 뱀의 발라드,68.70687,85.92625,85.2536,70.3160259269929,58.10980140578668,48.39008,43.73346
오멘: 저주의 시작,47.34973,57.59075,73.99614,70.3160259269929,61.80151477193052,42.25797,60.39978
